639-3,eng,fra,spa,rus,,,
bel,беларуская,Belarusian,biélorusse,bielorruso,белорусский,Weißrussisch,
bre,brezhoneg,Breton,breton,bretón,бретонский,Bretonisch,
bul,български,Bulgarian,bulgare,búlgaro,болгарский,Bulgarisch,
ces,čeština,Czech,tchèque,checo,чешский,Tschechisch,
dan,dansk,Danish,danois,danés,датский,Dänisch,
deu,Deutsch,German,allemand,alemán,немецкий,Deutsch,
eng,English,English,anglais,inglés,английский,Englisch,
epo,Esperanto,Esperanto,espéranto,esperanto,эсперанто,Esperanto,
est,eesti,Estonian,estonien,estonio,эстонский,Estnisch,
fin,suomi,Finnish,finnois,fin(land)és,финский,Finnisch,
fra,français,French,français,francés,французский,Französisch,
hun,magyar,Hungarian,hongrois,húngaro,венгерский,Ungarisch,
isl,íslenska,Icelandic,islandais,islandés,исландский,Isländisch,
ita,italiano,Italian,italien,italiano,итальянский,Italienisch
kaz,Қазақша,Kazakh,kazakh,kazaj(i)o,казахский,Kasachisch,
lav,latviešu,Latvian,letton,letón,латышский,Lettisch,
lit,lietuvių,Lithuanian,lituanien,lituano,литовский,Litauisch,
mlt,bil-Malta,Maltese,maltais,maltés,мальтийский,Maltesisch
nld,Nederlands,Dutch,néerlandais,neerlandés,нидерландский,Niederländisch,
nor,norsk,Norwegian,norvégien,noruego,норвежский,Norwegisch,
pol,polski,Polish,polonais,polaco,польский,Polnisch,
por,português,Portuguese,portugais,portugués,португальский,Portugiesisch,
rus,русский,Russian,russe,ruso,русский,Russisch,
slk,slovenčina,Slovak,slovaque,eslovaco,словацкий,Slowakisch,
slv,slovenščina,Slovenian,slovène,esloveno,словенский,Slowenisch,
spa,español,Spanish (Castilian),espagnol,español,испанский,Spanisch,
srp,српски / srpski,Serbian,serbe,serbio,сербский,Serbisch,
swe,svenska,Swedish,suédois,sueco,шведский,Schwedisch,
tur,Türkçe,Turkish,Turc,Turco,турецкий,Türkisch,
ukr,українська,Ukrainian,ukrainien,ucrani(an)o,украинский,Ukrainisch,
